Timestamp,position,BLMTI.06L7.B2I10_TCLA.D6L7.B2
1469746014000,-0.875,6.877999999999999e-06
1469746014010,-0.875,9.774e-06
1469746014020,-0.875,1.2308e-05
1469746014030,-0.875,1.6652e-05
1469746014040,-0.875,9.774e-06
1469746014050,-0.875,2.0272000000000002e-05
1469746014060,-0.875,1.7014e-05
1469746014070,-0.875,4.1992e-05
1469746014080,-0.875,2.534e-05
1469746014090,-0.875,3.1856e-05
1469746014100,-0.875,1.0498e-05
1469746014110,-0.875,6.516e-06
1469746014120,-0.875,4.343999999999999e-06
1469746014130,-0.875,5.43e-06
1469746014140,-0.875,4.343999999999999e-06
1469746014150,-0.875,9.412e-06
1469746014160,-0.875,3.5838000000000005e-05
1469746014170,-0.875,4.959399999999999e-05
1469746014180,-0.875,8.036399999999999e-05
1469746014190,-0.875,2.534e-05
1469746014200,-0.875,1.991e-05
1469746014210,-0.875,9.412e-06
1469746014220,-0.875,8.687999999999999e-06
1469746014230,-0.875,1.0136000000000001e-05
1469746014240,-0.875,1.9186e-05
1469746014250,-0.875,3.4751999999999995e-05
1469746014260,-0.875,4.7783999999999995e-05
1469746014270,-0.875,6.4436e-05
1469746014280,-0.875,2.8598000000000003e-05
1469746014290,-0.875,2.0996e-05
1469746014300,-0.875,6.877999999999999e-06
1469746014310,-0.875,7.964e-06
1469746014320,-0.875,6.154e-06
1469746014330,-0.875,1.4118e-05
1469746014340,-0.875,2.4254000000000002e-05
1469746014350,-0.875,5.973e-05
1469746014360,-0.875,4.3802e-05
1469746014370,-0.875,1.8462e-05
1469746014380,-0.875,7.24e-06
1469746014390,-0.875,5.43e-06
1469746014400,-0.875,4.343999999999999e-06
1469746014410,-0.875,4.706e-06
1469746014420,-0.875,6.154e-06
1469746014430,-0.875,1.0498e-05
1469746014440,-0.875,2.8236e-05
1469746014450,-0.875,1.9548e-05
1469746014460,-0.875,8.326e-06
1469746014470,-0.875,5.43e-06
1469746014480,-0.875,4.343999999999999e-06
1469746014490,-0.875,5.0680000000000004e-06
1469746014500,-0.875,5.792000000000001e-06
1469746014510,-0.875,1.8824e-05
1469746014520,-0.875,3.6562e-05
1469746014530,-0.875,5.068e-05
1469746014540,-0.875,2.4616e-05
1469746014550,-0.875,1.1945999999999999e-05
1469746014560,-0.875,5.43e-06
1469746014570,-0.875,5.792000000000001e-06
1469746014580,-0.875,4.706e-06
1469746014590,-0.875,6.877999999999999e-06
1469746014600,-0.875,9.412e-06
1469746014610,-0.875,1.991e-05
1469746014620,-0.875,2.2805999999999998e-05
1469746014630,-0.875,1.4842000000000001e-05
1469746014640,-0.875,1.448e-05
1469746014650,-0.875,7.964e-06
1469746014660,-0.875,9.412e-06
1469746014670,-0.875,1.1222e-05
1469746014680,-0.875,2.7511999999999997e-05
1469746014690,-0.875,3.4028e-05
1469746014700,-0.875,2.7874e-05
1469746014710,-0.875,1.2308e-05
1469746014720,-0.875,4.706e-06
1469746014730,-0.875,6.154e-06
1469746014740,-0.875,3.982e-06
1469746014750,-0.875,4.343999999999999e-06
1469746014760,-0.875,8.326e-06
1469746014770,-0.875,4.0906e-05
1469746014780,-0.875,0.000122356
1469746014790,-0.875,0.000180638
1469746014800,-0.875,5.9006000000000004e-05
1469746014810,-0.875,1.4842000000000001e-05
1469746014820,-0.875,6.154e-06
1469746014830,-0.875,5.792000000000001e-06
1469746014840,-0.875,4.706e-06
1469746014850,-0.875,8.326e-06
1469746014860,-0.875,1.8824e-05
1469746014870,-0.875,4.6698e-05
1469746014880,-0.875,5.3938000000000004e-05
1469746014890,-0.875,2.715e-05
1469746014900,-0.875,7.964e-06
1469746014910,-0.875,6.154e-06
1469746014920,-0.875,4.343999999999999e-06
1469746014930,-0.875,5.0680000000000004e-06
1469746014940,-0.875,7.602e-06
1469746014950,-0.875,2.2805999999999998e-05
1469746014960,-0.875,5.8281999999999995e-05
1469746014970,-0.875,5.9368000000000005e-05
1469746014980,-0.875,3.0046e-05
1469746014990,-0.875,1.2308e-05
1469746015000,-0.875,5.0680000000000004e-06
1469746015010,-0.875,4.706e-06
1469746015020,-0.875,3.258e-06
1469746015030,-0.875,7.602e-06
1469746015040,-0.875,9.05e-06
1469746015050,-0.875,1.9548e-05
1469746015060,-0.875,1.9548e-05
1469746015070,-0.875,1.4118e-05
1469746015080,-0.875,6.516e-06
1469746015090,-0.875,4.706e-06
1469746015100,-0.875,3.258e-06
