Timestamp,position,BLMTI.05L3.B2E10_TCLA.B5L3.B2
1459602026850,8.81,0.0
1459602026860,8.81,7.240000000000001e-07
1459602026870,8.81,7.240000000000001e-07
1459602026880,8.81,0.0
1459602026890,8.81,3.6200000000000004e-07
1459602026900,8.81,3.6200000000000004e-07
1459602026910,8.81,3.6200000000000004e-07
1459602026920,8.81,0.0
1459602026930,8.81,0.0
1459602026940,8.81,3.6200000000000004e-07
1459602026950,8.81,3.6200000000000004e-07
1459602026960,8.81,0.0
1459602026970,8.81,7.240000000000001e-07
1459602026980,8.81,3.6200000000000004e-07
1459602026990,8.81,1.0859999999999999e-06
1459602027000,8.81,0.0
1459602027010,8.81,0.0
1459602027020,8.81,0.0
1459602027030,8.81,7.240000000000001e-07
1459602027040,8.81,0.0
1459602027050,8.81,3.6200000000000004e-07
1459602027060,8.81,0.0
1459602027070,8.81,0.0
1459602027080,8.81,7.240000000000001e-07
1459602027090,8.81,7.240000000000001e-07
1459602027100,8.81,3.6200000000000004e-07
1459602027110,8.81,7.240000000000001e-07
1459602027120,8.81,0.0
1459602027130,8.81,3.6200000000000004e-07
1459602027140,8.81,0.0
1459602027150,8.81,7.240000000000001e-07
1459602027160,8.81,7.240000000000001e-07
1459602027170,8.81,7.240000000000001e-07
1459602027180,8.81,7.240000000000001e-07
1459602027190,8.81,0.0
1459602027200,8.81,3.6200000000000004e-07
1459602027210,8.81,0.0
1459602027220,8.81,0.0
1459602027230,8.81,3.6200000000000004e-07
1459602027240,8.81,0.0
1459602027250,8.81,0.0
1459602027260,8.81,0.0
1459602027270,8.81,3.6200000000000004e-07
1459602027280,8.81,3.6200000000000004e-07
1459602027290,8.81,3.6200000000000004e-07
1459602027300,8.81,3.6200000000000004e-07
1459602027310,8.81,7.240000000000001e-07
1459602027320,8.81,0.0
1459602027330,8.81,3.6200000000000004e-07
1459602027340,8.81,0.0
1459602027350,8.81,7.240000000000001e-07
1459602027360,8.81,0.0
1459602027370,8.81,0.0
1459602027380,8.81,3.6200000000000004e-07
1459602027390,8.81,7.240000000000001e-07
1459602027400,8.81,3.6200000000000004e-07
1459602027410,8.81,0.0
1459602027420,8.81,3.6200000000000004e-07
1459602027430,8.81,7.240000000000001e-07
1459602027440,8.81,7.240000000000001e-07
1459602027450,8.81,3.6200000000000004e-07
1459602027460,8.81,0.0
1459602027470,8.81,7.240000000000001e-07
1459602027480,8.81,0.0
1459602027490,8.81,7.240000000000001e-07
1459602027500,8.81,3.6200000000000004e-07
1459602027510,8.81,0.0
1459602027520,8.81,1.0859999999999999e-06
1459602027530,8.81,0.0
1459602027540,8.81,3.6200000000000004e-07
1459602027550,8.81,3.6200000000000004e-07
1459602027560,8.81,0.0
1459602027570,8.81,3.6200000000000004e-07
1459602027580,8.81,0.0
1459602027590,8.81,0.0
1459602027600,8.81,0.0
1459602027610,8.81,7.240000000000001e-07
1459602027620,8.81,3.6200000000000004e-07
1459602027630,8.81,3.6200000000000004e-07
1459602027640,8.81,3.6200000000000004e-07
1459602027650,8.81,7.240000000000001e-07
1459602027660,8.81,0.0
