Timestamp,position,BLMTI.04L7.B1E10_TCSG.D4L7.B1
1459607404480,8.335,0.0
1459607404490,8.335,7.240000000000001e-07
1459607404500,8.335,7.240000000000001e-07
1459607404510,8.335,3.6200000000000004e-07
1459607404520,8.335,0.0
1459607404530,8.335,0.0
1459607404540,8.335,1.0859999999999999e-06
1459607404550,8.335,3.6200000000000004e-07
1459607404560,8.335,0.0
1459607404570,8.335,1.0859999999999999e-06
1459607404580,8.335,0.0
1459607404590,8.335,0.0
1459607404600,8.335,3.6200000000000004e-07
1459607404610,8.335,1.0859999999999999e-06
1459607404620,8.335,0.0
1459607404630,8.335,7.240000000000001e-07
1459607404640,8.335,0.0
1459607404650,8.335,3.6200000000000004e-07
1459607404660,8.335,3.6200000000000004e-07
1459607404670,8.335,7.240000000000001e-07
1459607404680,8.335,3.6200000000000004e-07
1459607404690,8.335,3.6200000000000004e-07
1459607404700,8.335,3.6200000000000004e-07
1459607404710,8.335,0.0
1459607404720,8.335,7.240000000000001e-07
1459607404730,8.335,7.240000000000001e-07
1459607404740,8.335,0.0
1459607404750,8.335,7.240000000000001e-07
1459607404760,8.335,3.6200000000000004e-07
1459607404770,8.335,3.6200000000000004e-07
1459607404780,8.335,0.0
1459607404790,8.335,3.6200000000000004e-07
1459607404800,8.335,0.0
1459607404810,8.335,1.4480000000000002e-06
1459607404820,8.335,0.0
1459607404830,8.335,3.6200000000000004e-07
1459607404840,8.335,7.240000000000001e-07
1459607404850,8.335,3.6200000000000004e-07
1459607404860,8.335,3.6200000000000004e-07
1459607404870,8.335,3.6200000000000004e-07
1459607404880,8.335,3.6200000000000004e-07
1459607404890,8.335,7.240000000000001e-07
1459607404900,8.335,0.0
1459607404910,8.335,3.6200000000000004e-07
1459607404920,8.335,3.6200000000000004e-07
1459607404930,8.335,3.6200000000000004e-07
1459607404940,8.335,3.6200000000000004e-07
1459607404950,8.335,7.240000000000001e-07
1459607404960,8.335,7.240000000000001e-07
1459607404970,8.335,3.6200000000000004e-07
1459607404980,8.335,0.0
1459607404990,8.335,3.6200000000000004e-07
1459607405000,8.335,3.6200000000000004e-07
1459607405010,8.335,3.6200000000000004e-07
1459607405020,8.335,3.6200000000000004e-07
1459607405030,8.335,3.6200000000000004e-07
1459607405040,8.335,0.0
1459607405050,8.335,1.0859999999999999e-06
1459607405060,8.335,7.240000000000001e-07
1459607405070,8.335,3.6200000000000004e-07
1459607405080,8.335,0.0
1459607405090,8.335,1.4480000000000002e-06
1459607405100,8.335,0.0
1459607405110,8.335,0.0
1459607405120,8.335,7.240000000000001e-07
1459607405130,8.335,3.6200000000000004e-07
1459607405140,8.335,3.6200000000000004e-07
1459607405150,8.335,3.6200000000000004e-07
1459607405160,8.335,3.6200000000000004e-07
1459607405170,8.335,3.6200000000000004e-07
1459607405180,8.335,3.6200000000000004e-07
1459607405190,8.335,3.6200000000000004e-07
1459607405200,8.335,3.6200000000000004e-07
1459607405210,8.335,0.0
1459607405220,8.335,1.0859999999999999e-06
1459607405230,8.335,0.0
1459607405240,8.335,7.240000000000001e-07
1459607405250,8.335,0.0
1459607405260,8.335,3.6200000000000004e-07
1459607405270,8.335,3.6200000000000004e-07
1459607405280,8.335,0.0
1459607405290,8.335,3.6200000000000004e-07
1459607405300,8.335,3.6200000000000004e-07
1459607405310,8.335,1.81e-06
1459607405320,8.335,0.0
1459607405330,8.335,3.6200000000000004e-07
1459607405340,8.335,3.6200000000000004e-07
1459607405350,8.335,3.6200000000000004e-07
1459607405360,8.335,7.240000000000001e-07
1459607405370,8.335,7.240000000000001e-07
1459607405380,8.335,3.6200000000000004e-07
1459607405390,8.335,0.0
1459607405400,8.335,7.240000000000001e-07
1459607405410,8.335,3.6200000000000004e-07
1459607405420,8.335,3.6200000000000004e-07
1459607405430,8.335,7.240000000000001e-07
1459607405440,8.335,7.240000000000001e-07
1459607405450,8.335,3.6200000000000004e-07
1459607405460,8.335,7.240000000000001e-07
1459607405470,8.335,3.6200000000000004e-07
1459607405480,8.335,3.6200000000000004e-07
1459607405490,8.335,3.6200000000000004e-07
1459607405500,8.335,0.0
1459607405510,8.335,1.0859999999999999e-06
1459607405520,8.335,3.6200000000000004e-07
1459607405530,8.335,7.240000000000001e-07
1459607405540,8.335,3.6200000000000004e-07
1459607405550,8.335,7.240000000000001e-07
1459607405560,8.335,3.6200000000000004e-07
1459607405570,8.335,1.0859999999999999e-06
1459607405580,8.335,3.6200000000000004e-07
1459607405590,8.335,3.6200000000000004e-07
1459607405600,8.335,0.0
1459607405610,8.335,1.0859999999999999e-06
1459607405620,8.335,0.0
1459607405630,8.335,7.240000000000001e-07
1459607405640,8.335,7.240000000000001e-07
1459607405650,8.335,7.240000000000001e-07
1459607405660,8.335,3.6200000000000004e-07
1459607405670,8.335,3.6200000000000004e-07
1459607405680,8.335,3.6200000000000004e-07
1459607405690,8.335,0.0
1459607405700,8.335,1.0859999999999999e-06
1459607405710,8.335,0.0
1459607405720,8.335,1.0859999999999999e-06
1459607405730,8.335,0.0
1459607405740,8.335,3.6200000000000004e-07
1459607405750,8.335,7.240000000000001e-07
1459607405760,8.335,3.6200000000000004e-07
1459607405770,8.335,1.0859999999999999e-06
1459607405780,8.335,7.240000000000001e-07
1459607405790,8.335,7.240000000000001e-07
1459607405800,8.335,3.6200000000000004e-07
1459607405810,8.335,3.6200000000000004e-07
1459607405820,8.335,7.240000000000001e-07
1459607405830,8.335,3.6200000000000004e-07
1459607405840,8.335,0.0
1459607405850,8.335,1.0859999999999999e-06
1459607405860,8.335,0.0
1459607405870,8.335,7.240000000000001e-07
1459607405880,8.335,3.6200000000000004e-07
1459607405890,8.335,3.6200000000000004e-07
1459607405900,8.335,7.240000000000001e-07
1459607405910,8.335,3.6200000000000004e-07
1459607405920,8.335,0.0
1459607405930,8.335,1.0859999999999999e-06
1459607405940,8.335,3.6200000000000004e-07
1459607405950,8.335,7.240000000000001e-07
1459607405960,8.335,3.6200000000000004e-07
1459607405970,8.335,7.240000000000001e-07
1459607405980,8.335,0.0
1459607405990,8.335,3.6200000000000004e-07
1459607406000,8.335,3.6200000000000004e-07
1459607406010,8.335,0.0
1459607406020,8.335,7.240000000000001e-07
1459607406030,8.335,3.6200000000000004e-07
1459607406040,8.335,0.0
1459607406050,8.335,3.6200000000000004e-07
1459607406060,8.335,0.0
1459607406070,8.335,7.240000000000001e-07
1459607406080,8.335,7.240000000000001e-07
1459607406090,8.335,0.0
1459607406100,8.335,0.0
1459607406110,8.335,1.0859999999999999e-06
1459607406120,8.335,0.0
1459607406130,8.335,7.240000000000001e-07
1459607406140,8.335,0.0
1459607406150,8.335,7.240000000000001e-07
1459607406160,8.335,7.240000000000001e-07
1459607406170,8.335,3.6200000000000004e-07
1459607406180,8.335,3.6200000000000004e-07
1459607406190,8.335,3.6200000000000004e-07
1459607406200,8.335,0.0
1459607406210,8.335,7.240000000000001e-07
1459607406220,8.335,0.0
1459607406230,8.335,1.0859999999999999e-06
1459607406240,8.335,0.0
1459607406250,8.335,7.240000000000001e-07
1459607406260,8.335,3.6200000000000004e-07
1459607406270,8.335,3.6200000000000004e-07
1459607406280,8.335,0.0
1459607406290,8.335,7.240000000000001e-07
1459607406300,8.335,0.0
1459607406310,8.335,3.6200000000000004e-07
1459607406320,8.335,3.6200000000000004e-07
1459607406330,8.335,3.6200000000000004e-07
1459607406340,8.335,3.6200000000000004e-07
1459607406350,8.335,3.6200000000000004e-07
1459607406360,8.335,3.6200000000000004e-07
1459607406370,8.335,7.240000000000001e-07
1459607406380,8.335,0.0
